name,minPlanTime,maxPlanTime,shortConTimeDriver,shortConTimeVehicle,maxDrivingTime,maxWorkingTime,nbCities,nbTrips,maxPercentCombine,timeWindowRange,nbNodes,nbArcs,maxNbDriverAvailable,maxNbVehicleAvailable,lb,ub,gap(%),totalCost,totalFixedCost,fixedCostForDrivers,fixedCostForVehicles,totalIdleTimeCost,idleTimeCostForDrivers,idleTimeCostForVehicles,changeOverCost,nbDrivers,nbVehicles,elapsedTime(sec),
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,20,46,306,8,8,726075.0,726075.0,0.0,750075.0,724000.0,24000.0,700000.0,25745.0,1345.0,24400.0,330.0,6,7,0.004,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,30,46,313,8,8,724410.0,724410.0,0.0,748410.0,724000.0,24000.0,700000.0,24080.0,1180.0,22900.0,330.0,6,7,0.005,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,40,46,316,8,8,721985.0,721985.0,0.0,745985.0,724000.0,24000.0,700000.0,21715.0,1015.0,20700.0,270.0,6,7,0.004,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,50,46,318,8,8,721470.0,721470.0,0.0,745470.0,724000.0,24000.0,700000.0,21230.0,1030.0,20200.0,240.0,6,7,0.004,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,40,0.25,60,46,325,8,8,618725.0,618725.0,0.0,642725.0,624000.0,24000.0,600000.0,18395.0,895.0,17500.0,330.0,6,6,0.005,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.0,0,51,368,8,8,531655.0,531655.0,0.0,559655.0,528000.0,28000.0,500000.0,31625.0,1425.0,30200.0,30.0,7,5,0.003,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.0,10,51,375,8,8,529970.0,529970.0,0.0,557970.0,528000.0,28000.0,500000.0,29970.0,1270.0,28700.0,0.0,7,5,0.003,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.0,20,51,379,8,8,528000.0,528000.0,0.0,556000.0,528000.0,28000.0,500000.0,27970.0,1170.0,26800.0,30.0,7,5,0.003,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.0,30,51,385,8,8,527140.0,527140.0,0.0,555140.0,528000.0,28000.0,500000.0,27140.0,940.0,26200.0,0.0,7,5,0.003,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.0,40,51,387,8,8,521275.0,521275.0,0.0,549275.0,528000.0,28000.0,500000.0,21245.0,845.0,20400.0,30.0,7,5,0.004,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.0,50,51,394,8,8,518720.0,518720.0,0.0,546720.0,528000.0,28000.0,500000.0,18720.0,720.0,18000.0,0.0,7,5,0.004,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.0,60,51,403,8,8,513775.0,513775.0,0.0,541775.0,528000.0,28000.0,500000.0,13775.0,575.0,13200.0,0.0,7,5,0.004,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips6;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.25,0,51,357,9,9,933180.0,933180.0,0.0,965180.0,932000.0,32000.0,900000.0,32760.0,1760.0,31000.0,420.0,8,9,0.007,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips6;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.25,10,51,363,9,9,931030.0,931030.0,0.0,963030.0,932000.0,32000.0,900000.0,30700.0,1500.0,29200.0,330.0,8,9,0.006,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips6;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.25,20,51,370,9,9,929515.0,929515.0,0.0,961515.0,932000.0,32000.0,900000.0,29215.0,1415.0,27800.0,300.0,8,9,0.006,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips6;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,15,720,20,20,540,720,3,45,0.25,30,51,379,9,9,926635.0,926635.0,0.0,958635.0,932000.0,32000.0,900000.0,26395.0,1195.0,25200.0,240.0,8,9,0.008,
